Jop title,Company name,Location,Posted,Skills,links
Data Analyst Team Leader,3Sixty -,"Mohandessin, Giza, Egypt",12 days ago,Full TimeHybridExperienced / 3 - 5 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / AWS / Analysis / Computer Engineering / Azure / Computer Science / Data Analyst / Data Analysis,https://wuzzuf.net/jobs/p/HN6h2CLSlb04-Data-Analyst-Team-Leader-3Sixty-Giza-Egypt
Business Data Analyst,Fawry Plus -,"Smart Village, Giza, Egypt",13 days ago,Full TimeOn-siteExperienced / 1 - 3 Yrs of Exp / Analyst/Research / business / Analyst / Business Analysis / Data Analyst / Analysis / Data Analysis / English / Information Technology (IT) / Computer Science,https://wuzzuf.net/jobs/p/kvMsx40qvLZl-Business-Data-Analyst-Fawry-Plus-Giza-Egypt
Data/Business Analyst Intern,kafiil -,"Maadi, Cairo, Egypt",15 days ago,InternshipOn-siteEntry Level / Business Development / IT/Software Development / Analyst/Research / analytical / Analysis / Business Analysis / Data Analysis / is / excel / Python,https://wuzzuf.net/internship/NXl1N6zwtmSd-DataBusiness-Analyst-Intern-kafiil-Cairo-Egypt
Financial Data Analyst,Influence Communication -,"Maadi, Cairo, Egypt",16 days ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Accounting/Finance / Accounting / Financial Analysis / Data visualization / Power BI / Microsoft Excel,https://wuzzuf.net/jobs/p/pDJ6Rtkhmt6y-Financial-Data-Analyst-Influence-Communication-Cairo-Egypt
Data Analyst,Mazaya -,"New Cairo, Cairo, Egypt",23 days ago,Full TimeShift BasedOn-siteExperienced / 3 - 5 Yrs of Exp / Analyst/Research / Engineering - Telecom/Technology / Analyst / Analysis / Data Analyst / Database / Data Analysis / Data / Computer Science / business,https://wuzzuf.net/jobs/p/HaCk4dcFubh3-Data-Analyst-Mazaya-Cairo-Egypt
Data Analyst,Talaat Moustafa Group -,"Dokki, Giza, Egypt",21 days ago,Full TimeOn-siteEntry Level / 1 - 3 Yrs of Exp / IT/Software Development / Analyst/Research / Data / Data Analysis / Analysis / Computer Science / Database / excel / Information Technology (IT) / Reporting,https://wuzzuf.net/jobs/p/n8eZCC5B0pgZ-Data-Analyst-Talaat-Moustafa-Group-Giza-Egypt
Data Analyst,Rotem SRS -,"Cairo, Egypt",26 days ago,Full TimeOn-siteExperienced / 2 - 3 Yrs of Exp / Quality / Analyst/Research / Engineering - Mechanical/Electrical / Data Analysis / Engineering / Analysis / analytical / Statistics / Tableau / SQL,https://wuzzuf.net/jobs/p/dZtsSzWqvAqg-Data-Analyst-Rotem-SRS-Cairo-Egypt
Data Analyst,Al Watania Poultry -,"Smart Village, Giza, Egypt",27 days ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Accounting/Finance / Analyst/Research / Analysis / analytical / Data Analysis / Power BI / Power Pivot,https://wuzzuf.net/jobs/p/HzJ6GhNp7osP-Data-Analyst-Al-Watania-Poultry-Giza-Egypt
Data Analyst,EGEC -,"Haram, Giza, Egypt",27 days ago,Full TimeOn-siteExperienced / 2 - 5 Yrs of Exp / Accounting/Finance / Analyst/Research / Engineering - Other / analytical / Analysis / Computer Science / Reporting / Data Analysis / Communication skills,https://wuzzuf.net/jobs/p/F99QNVxDd8Yp-Data-Analyst-EGEC-Giza-Egypt
Marketing Executive - Data Analyst,Kasrawy Group -,"Abu Rawash, Giza, Egypt",30 days ago,Full TimeOn-siteExperienced / 3 - 6 Yrs of Exp / Marketing/PR/Advertising / Marketing / Market Research,https://wuzzuf.net/jobs/p/knV1mCUegkfj-Marketing-Executive---Data-Analyst-Kasrawy-Group-Giza-Egypt
Data Analyst,Alarabia Group -,"Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / IT/Software Development / Analyst/Research / Sales/Retail / business / Computer Science / Analysis / Computer Skills / Data Analysis / Information Technology (IT) / Sales,https://wuzzuf.net/jobs/p/g31LAuLyaUXD-Data-Analyst-Alarabia-Group-Cairo-Egypt
Data Analyst,Second profit   -,"Nasr City, Cairo, Egypt",1 month ago,Full TimeRemoteExperienced / 2 - 4 Yrs of Exp / Other / SQL / Tableau / Power BI / Oracle Database / Data Warehouse / JavaScript,https://wuzzuf.net/jobs/p/StxQYW68mlNE-Data-Analyst-Second-profit-Cairo-Egypt
HR Analyst,Fawry MSME Finance  -,"Giza, Egypt",23 days ago,Full TimeOn-siteExperienced / 1 - 3 Yrs of Exp / Human Resources / Analyst/Research / Analytics / Analysis / HR / Human Resources / excel / Human Resources (HR) / Microsoft Office / Data Analysis,https://wuzzuf.net/jobs/p/SdyXPdvmZc82-HR-Analyst-Fawry-Microfinance-Giza-Egypt
Data Marketing Analyst,Madar Soft -,"Fleming, Alexandria, Egypt",1 month ago,Full TimeRemoteExperienced / 2 - 3 Yrs of Exp / Marketing/PR/Advertising / Analyst/Research / CRM / Analysis / analytical / Data Analysis / Google Analytics / Market Research / SPSS / SAS,https://wuzzuf.net/jobs/p/7Y5gV4BJSesN-Data-Marketing-Analyst-Madar-Soft-Alexandria-Egypt
Data Analyst,Naguib Selim -,"Nasr City, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 5 - 7 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / Analyst / Computer Science / Data Analysis / Data Analyst / Information Technology (IT) / analytical,https://wuzzuf.net/jobs/p/qRdMHenTJrJQ-Data-Analyst-Naguib-Selim-Cairo-Egypt
Sales Data Analyst,ICONIC FMCG  -,"New Cairo, Cairo, Egypt",2 days ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Accounting/Finance / Analyst/Research / Sales/Retail / Analysis / Data / Data Analysis / Data Analyst / Retail / Sales,https://wuzzuf.net/jobs/p/nsSdNqUuGTdi-Sales-Data-Analyst-ICONIC-FMCG-Cairo-Egypt
Senior ERP Business Analyst,BI-Technologies -,"New Cairo, Cairo, Egypt",12 hours ago,Full TimeHybridExperienced / 5+ Yrs of Exp / Installation/Maintenance/Repair / IT/Software Development / Engineering - Telecom/Technology / Business Analysis / business / Business Development / Computer Science / Information Technology (IT) / Data / Management,https://wuzzuf.net/jobs/p/LS5ZTGKMmyer-Senior-ERP-Business-Analyst-BI-Technologies-Cairo-Egypt
Operation Analyst Specialist,Etisal EG -,"New Cairo, Cairo, Egypt",2 days ago,Full TimeOn-siteExperienced / 2 - 3 Yrs of Exp / Business Development / Operations/Management / Data Analysis / analytical / Operations / English,https://wuzzuf.net/jobs/p/p54I9deCNMoj-Operation-Analyst-Specialist-Etisal-EG-Cairo-Egypt
Senior Data Intelligence Analyst,Almosafer -,"Mohandessin, Giza, Egypt",10 hours ago,Full TimeOn-siteExperienced / 2 - 3 Yrs of Exp / Analyst/Research / Analysis / Data / Data Analysis / English / analytical,https://wuzzuf.net/jobs/p/1yrlB1UR7kZU-Senior-Data-Intelligence-Analyst-Almosafer-Giza-Egypt
Reporting Analyst,Foundever -,"Nasr City, Cairo, Egypt",1 month ago,Full TimeHybridEntry Level / 2 - 4 Yrs of Exp / Other / Analyst/Research / analytical / Analysis / business / Communication / Data / Data Analysis / excel / Finance,https://wuzzuf.net/jobs/p/ZD80po0zQ6Zv-Reporting-Analyst-Sykes-Enterprises-Cairo-Egypt
Data Analyst,Carina Wear -,"New Cairo, Cairo, Egypt",27 days ago,Full TimeOn-siteEntry Level / 1 - 3 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Microsoft Power BI / business / Analysis / Computer Science / Big Data Analytics / Power BI,https://wuzzuf.net/jobs/p/0hum3wjh9mZ4-Data-Analyst-Carina-Wear-Cairo-Egypt
Senior Business Systems Analyst (To Work In Saudi Arabia),ICIS -,"Riyadh, Saudi Arabia",28 days ago,Full TimeOn-siteExperienced / 10 - 15 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / Computer Science / Information Technology (IT) / QA / Business Analysis / Data / Software,https://wuzzuf.net/jobs/p/AfpoBAv0jIwN-Senior-Business-Systems-Analyst-To-Work-In-Saudi-Arabia-ICIS-Riyadh-Saudi-Arabia
Quality Monitoring Analyst (Call Center),Xceed Contact Center -,"Maadi, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 1 - 5 Yrs of Exp / Quality / Analyst/Research / Engineering - Telecom/Technology / Customer Service / QA / Quality Assurance / Quality analyst / Call Center / Analyst / Analysis,https://wuzzuf.net/jobs/p/DZhHSae1WhY8-Quality-Monitoring-Analyst-Call-Center-Xceed-Contact-Center-Cairo-Egypt
Sr. Business Analyst,egabi solutions -,"Sheraton, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Information Technology (IT) / Computer Science / Project Management / Business Analysis / Business / English / Software,https://wuzzuf.net/jobs/p/AHlvfkeJzTDw-Sr-Business-Analyst-egabi-solutions-Cairo-Egypt
System Analyst/Technical Writer,Tamweely -,"Cairo, Egypt",2 months ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / IT/Software Development / Analyst / business / Computer Science / Project Management / System Analysis,https://wuzzuf.net/jobs/p/ZjVqYMxvgGC3-System-AnalystTechnical-Writer-Tamweely-Cairo-Egypt
Financial Analyst,B.TECH -,"Nasr City, Cairo, Egypt",1 month ago,Full TimeOn-siteEntry Level / 1 - 4 Yrs of Exp / Accounting/Finance / Banking / Analyst/Research / Accounting / analytical / Finance / Financial Analysis / Statistics / Commerce,https://wuzzuf.net/jobs/p/9DDjYOLhL1Ym-Financial-Analyst-B-TECH-Cairo-Egypt
Senior Financial Analyst,Etqan -,"New Cairo, Cairo, Egypt",12 days ago,Full TimeOn-siteExperienced / 3 - 7 Yrs of Exp / Accounting/Finance / Analyst/Research / Accounting / Analyst / Financial Analysis / analytical / CFA / CPA / ERP / excel,https://wuzzuf.net/jobs/p/l6ZSxD43Ytvl-Senior-Financial-Analyst-Etqan-Cairo-Egypt
Market Research Analyst,Maison de Maa -,"Heliopolis, Cairo, Egypt",13 days ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Marketing/PR/Advertising / Analysis / E-Marketing / Market Research / Project Management / Research,https://wuzzuf.net/jobs/p/X0zWCU31Rarm-Market-Research-Analyst-Maison-de-Maa-Cairo-Egypt
Data Analyst,Helal Group -,"New Cairo, Cairo, Egypt",2 months ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Analyst/Research / Data / Data Analyst / Data Analysis / Analysis / analytical / Analyst,https://wuzzuf.net/jobs/p/X7y9gVNXPRbp-Data-Analyst-Helal-Group-Cairo-Egypt
Risk & Compliance Analyst,InstaShop -,"Katameya, Cairo, Egypt",1 month ago,Full TimeHybridExperienced / 3 - 5 Yrs of Exp / Legal / Quality / Analyst/Research / Business Administration / Fraud / Compliance / Risk / Risk Management / Risk Assessment / Fraud Investigation,https://wuzzuf.net/jobs/p/Q7xBPwqguZAd-Risk-Compliance-Analyst-InstaShop-Cairo-Egypt
WFM - MIS Analyst (Contact Center Field),Giza Systems -,"New Cairo, Cairo, Egypt",1 day ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Customer Service/Support / Analyst/Research / Analyst / MIS / Contact Center Management / Microsoft Excel / Reporting Analysis,https://wuzzuf.net/jobs/p/NkONHjA3XLDC-WFM---MIS-Analyst-Contact-Center-Field-Giza-Systems-Cairo-Egypt
